Window_Index,Real_Label,Real_Activity,Predicted_Label,Predicted_Activity,Is_Correct
288,5,Walking,5,Walking,1
289,5,Walking,5,Walking,1
290,5,Walking,5,Walking,1
291,5,Walking,5,Walking,1
292,5,Walking,5,Walking,1
293,5,Walking,5,Walking,1
294,5,Walking,5,Walking,1
295,5,Walking,5,Walking,1
296,5,Walking,5,Walking,1
297,5,Walking,5,Walking,1
298,5,Walking,5,Walking,1
299,5,Walking,5,Walking,1
300,5,Walking,5,Walking,1
301,5,Walking,5,Walking,1
302,5,Walking,5,Walking,1
303,5,Walking,5,Walking,1
304,5,Walking,5,Walking,1
305,5,Walking,5,Walking,1
306,5,Walking,5,Walking,1
307,5,Walking,5,Walking,1
308,5,Walking,5,Walking,1
309,5,Walking,5,Walking,1
310,5,Walking,5,Walking,1
311,5,Walking,5,Walking,1
312,5,Walking,5,Walking,1
313,5,Walking,5,Walking,1
314,5,Walking,5,Walking,1
315,5,Walking,5,Walking,1
316,5,Walking,5,Walking,1
317,5,Walking,5,Walking,1
318,5,Walking,5,Walking,1
319,5,Walking,5,Walking,1
320,5,Walking,5,Walking,1
321,5,Walking,5,Walking,1
322,5,Walking,5,Walking,1
323,5,Walking,5,Walking,1
324,5,Walking,5,Walking,1
325,5,Walking,5,Walking,1
326,5,Walking,5,Walking,1
327,5,Walking,5,Walking,1
328,5,Walking,5,Walking,1
329,5,Walking,5,Walking,1
330,5,Walking,5,Walking,1
331,5,Walking,5,Walking,1
332,5,Walking,5,Walking,1
333,5,Walking,5,Walking,1
334,5,Walking,5,Walking,1
335,5,Walking,5,Walking,1
336,5,Walking,5,Walking,1
337,5,Walking,5,Walking,1
338,5,Walking,5,Walking,1
339,5,Walking,5,Walking,1
340,5,Walking,5,Walking,1
341,5,Walking,5,Walking,1
342,5,Walking,5,Walking,1
343,5,Walking,5,Walking,1
344,5,Walking,5,Walking,1
345,5,Walking,5,Walking,1
346,5,Walking,5,Walking,1
347,5,Walking,5,Walking,1
348,5,Walking,5,Walking,1
349,5,Walking,5,Walking,1
350,5,Walking,5,Walking,1
351,5,Walking,5,Walking,1
352,5,Walking,5,Walking,1
353,5,Walking,5,Walking,1
354,5,Walking,5,Walking,1
355,5,Walking,5,Walking,1
356,5,Walking,5,Walking,1
357,5,Walking,5,Walking,1
358,5,Walking,5,Walking,1
359,5,Walking,5,Walking,1
360,5,Walking,5,Walking,1
361,5,Walking,5,Walking,1
362,5,Walking,5,Walking,1
363,5,Walking,5,Walking,1
364,5,Walking,5,Walking,1
365,5,Walking,5,Walking,1
366,5,Walking,5,Walking,1
367,5,Walking,5,Walking,1
368,5,Walking,5,Walking,1
369,5,Walking,5,Walking,1
370,5,Walking,5,Walking,1
371,5,Walking,5,Walking,1
372,5,Walking,5,Walking,1
373,5,Walking,5,Walking,1
374,0,Downstairs,5,Walking,0
375,0,Downstairs,5,Walking,0
376,0,Downstairs,0,Downstairs,1
377,0,Downstairs,0,Downstairs,1
378,0,Downstairs,1,Jogging,0
379,1,Jogging,1,Jogging,1
380,1,Jogging,1,Jogging,1
381,1,Jogging,1,Jogging,1
382,1,Jogging,1,Jogging,1
383,1,Jogging,1,Jogging,1
384,1,Jogging,1,Jogging,1
385,1,Jogging,1,Jogging,1
386,1,Jogging,1,Jogging,1
387,1,Jogging,1,Jogging,1
388,1,Jogging,1,Jogging,1
389,1,Jogging,1,Jogging,1
390,1,Jogging,1,Jogging,1
391,1,Jogging,1,Jogging,1
392,1,Jogging,1,Jogging,1
393,1,Jogging,1,Jogging,1
394,1,Jogging,1,Jogging,1
395,1,Jogging,1,Jogging,1
396,1,Jogging,1,Jogging,1
397,1,Jogging,1,Jogging,1
398,1,Jogging,1,Jogging,1
399,1,Jogging,1,Jogging,1
400,1,Jogging,1,Jogging,1
401,1,Jogging,1,Jogging,1
402,1,Jogging,1,Jogging,1
403,1,Jogging,1,Jogging,1
404,1,Jogging,1,Jogging,1
405,1,Jogging,1,Jogging,1
406,1,Jogging,1,Jogging,1
407,1,Jogging,1,Jogging,1
408,1,Jogging,1,Jogging,1
409,1,Jogging,1,Jogging,1
410,1,Jogging,1,Jogging,1
411,1,Jogging,1,Jogging,1
412,1,Jogging,1,Jogging,1
413,1,Jogging,1,Jogging,1
414,1,Jogging,1,Jogging,1
415,1,Jogging,1,Jogging,1
416,1,Jogging,1,Jogging,1
417,1,Jogging,1,Jogging,1
418,1,Jogging,1,Jogging,1
419,1,Jogging,1,Jogging,1
420,1,Jogging,1,Jogging,1
421,1,Jogging,1,Jogging,1
422,1,Jogging,5,Walking,0
423,1,Jogging,5,Walking,0
424,1,Jogging,5,Walking,0
425,1,Jogging,5,Walking,0
426,1,Jogging,5,Walking,0
427,1,Jogging,5,Walking,0
428,1,Jogging,5,Walking,0
429,1,Jogging,5,Walking,0
430,1,Jogging,1,Jogging,1
431,1,Jogging,1,Jogging,1
432,1,Jogging,1,Jogging,1
433,1,Jogging,1,Jogging,1
434,1,Jogging,1,Jogging,1
435,1,Jogging,1,Jogging,1
436,1,Jogging,1,Jogging,1
437,1,Jogging,1,Jogging,1
438,1,Jogging,1,Jogging,1
439,1,Jogging,1,Jogging,1
440,1,Jogging,1,Jogging,1
441,1,Jogging,1,Jogging,1
442,1,Jogging,1,Jogging,1
443,1,Jogging,1,Jogging,1
444,1,Jogging,1,Jogging,1
445,1,Jogging,1,Jogging,1
446,1,Jogging,1,Jogging,1
447,1,Jogging,1,Jogging,1
448,1,Jogging,1,Jogging,1
449,1,Jogging,1,Jogging,1
450,1,Jogging,1,Jogging,1
451,1,Jogging,1,Jogging,1
452,1,Jogging,1,Jogging,1
453,1,Jogging,1,Jogging,1
454,1,Jogging,1,Jogging,1
455,1,Jogging,1,Jogging,1
456,1,Jogging,1,Jogging,1
457,1,Jogging,1,Jogging,1
458,1,Jogging,1,Jogging,1
459,1,Jogging,1,Jogging,1
460,1,Jogging,1,Jogging,1
461,1,Jogging,1,Jogging,1
462,1,Jogging,1,Jogging,1
463,1,Jogging,1,Jogging,1
464,1,Jogging,1,Jogging,1
465,1,Jogging,1,Jogging,1
466,1,Jogging,1,Jogging,1
467,1,Jogging,1,Jogging,1
468,1,Jogging,1,Jogging,1
469,1,Jogging,1,Jogging,1
470,1,Jogging,1,Jogging,1
471,1,Jogging,1,Jogging,1
472,1,Jogging,1,Jogging,1
473,2,Sitting,2,Sitting,1
474,2,Sitting,2,Sitting,1
475,2,Sitting,2,Sitting,1
476,2,Sitting,2,Sitting,1
477,2,Sitting,2,Sitting,1
478,2,Sitting,2,Sitting,1
479,2,Sitting,2,Sitting,1
480,2,Sitting,2,Sitting,1
481,2,Sitting,2,Sitting,1
482,2,Sitting,2,Sitting,1
483,2,Sitting,2,Sitting,1
484,2,Sitting,2,Sitting,1
485,2,Sitting,2,Sitting,1
486,2,Sitting,2,Sitting,1
487,2,Sitting,2,Sitting,1
488,2,Sitting,2,Sitting,1
489,2,Sitting,2,Sitting,1
490,2,Sitting,2,Sitting,1
491,2,Sitting,2,Sitting,1
492,2,Sitting,2,Sitting,1
493,2,Sitting,2,Sitting,1
494,3,Standing,4,Upstairs,0
495,3,Standing,3,Standing,1
496,3,Standing,3,Standing,1
497,3,Standing,3,Standing,1
498,3,Standing,3,Standing,1
499,3,Standing,3,Standing,1
500,3,Standing,3,Standing,1
501,3,Standing,3,Standing,1
502,3,Standing,3,Standing,1
503,3,Standing,3,Standing,1
504,3,Standing,3,Standing,1
505,3,Standing,3,Standing,1
506,3,Standing,5,Walking,0
507,4,Upstairs,5,Walking,0
508,4,Upstairs,5,Walking,0
509,4,Upstairs,5,Walking,0
510,4,Upstairs,5,Walking,0
511,4,Upstairs,5,Walking,0
512,4,Upstairs,5,Walking,0
513,4,Upstairs,5,Walking,0
514,4,Upstairs,5,Walking,0
515,4,Upstairs,5,Walking,0
516,5,Walking,5,Walking,1
517,5,Walking,5,Walking,1
518,5,Walking,5,Walking,1
519,5,Walking,5,Walking,1
520,5,Walking,5,Walking,1
521,5,Walking,5,Walking,1
522,5,Walking,5,Walking,1
523,5,Walking,5,Walking,1
524,5,Walking,5,Walking,1
525,5,Walking,5,Walking,1
526,5,Walking,5,Walking,1
527,5,Walking,5,Walking,1
528,5,Walking,5,Walking,1
529,5,Walking,5,Walking,1
530,5,Walking,5,Walking,1
531,5,Walking,5,Walking,1
532,5,Walking,5,Walking,1
533,5,Walking,5,Walking,1
534,5,Walking,5,Walking,1
535,5,Walking,5,Walking,1
536,5,Walking,5,Walking,1
537,5,Walking,5,Walking,1
538,5,Walking,5,Walking,1
539,5,Walking,5,Walking,1
540,5,Walking,5,Walking,1
541,5,Walking,0,Downstairs,0
542,5,Walking,5,Walking,1
543,5,Walking,5,Walking,1
544,5,Walking,5,Walking,1
545,5,Walking,5,Walking,1
546,5,Walking,5,Walking,1
547,5,Walking,5,Walking,1
548,5,Walking,5,Walking,1
549,5,Walking,5,Walking,1
550,5,Walking,5,Walking,1
551,5,Walking,5,Walking,1
552,5,Walking,5,Walking,1
553,5,Walking,5,Walking,1
554,5,Walking,5,Walking,1
555,5,Walking,5,Walking,1
556,0,Downstairs,0,Downstairs,1
557,0,Downstairs,0,Downstairs,1
558,0,Downstairs,0,Downstairs,1
559,0,Downstairs,4,Upstairs,0
560,0,Downstairs,0,Downstairs,1
561,0,Downstairs,4,Upstairs,0
562,0,Downstairs,0,Downstairs,1
563,0,Downstairs,0,Downstairs,1
564,0,Downstairs,4,Upstairs,0
565,1,Jogging,1,Jogging,1
566,1,Jogging,1,Jogging,1
567,1,Jogging,1,Jogging,1
568,1,Jogging,1,Jogging,1
569,1,Jogging,1,Jogging,1
570,1,Jogging,1,Jogging,1
571,1,Jogging,1,Jogging,1
572,1,Jogging,1,Jogging,1
573,1,Jogging,1,Jogging,1
574,1,Jogging,1,Jogging,1
575,1,Jogging,1,Jogging,1
576,1,Jogging,1,Jogging,1
577,1,Jogging,1,Jogging,1
578,1,Jogging,1,Jogging,1
579,1,Jogging,1,Jogging,1
580,1,Jogging,1,Jogging,1
581,1,Jogging,1,Jogging,1
582,1,Jogging,1,Jogging,1
583,1,Jogging,1,Jogging,1
584,1,Jogging,1,Jogging,1
585,1,Jogging,1,Jogging,1
586,1,Jogging,1,Jogging,1
587,1,Jogging,1,Jogging,1
588,1,Jogging,1,Jogging,1
589,1,Jogging,1,Jogging,1
590,1,Jogging,1,Jogging,1
591,1,Jogging,1,Jogging,1
592,1,Jogging,1,Jogging,1
593,1,Jogging,1,Jogging,1
594,1,Jogging,1,Jogging,1
595,1,Jogging,1,Jogging,1
596,1,Jogging,1,Jogging,1
597,1,Jogging,1,Jogging,1
598,1,Jogging,1,Jogging,1
599,1,Jogging,1,Jogging,1
600,1,Jogging,1,Jogging,1
601,1,Jogging,1,Jogging,1
602,1,Jogging,1,Jogging,1
603,1,Jogging,1,Jogging,1
604,1,Jogging,1,Jogging,1
605,1,Jogging,1,Jogging,1
606,1,Jogging,1,Jogging,1
607,1,Jogging,1,Jogging,1
608,1,Jogging,1,Jogging,1
609,1,Jogging,1,Jogging,1
610,1,Jogging,1,Jogging,1
611,1,Jogging,1,Jogging,1
612,2,Sitting,0,Downstairs,0
613,2,Sitting,2,Sitting,1
614,2,Sitting,2,Sitting,1
615,2,Sitting,2,Sitting,1
616,2,Sitting,2,Sitting,1
617,2,Sitting,2,Sitting,1
618,2,Sitting,2,Sitting,1
619,2,Sitting,2,Sitting,1
620,2,Sitting,2,Sitting,1
621,2,Sitting,2,Sitting,1
622,2,Sitting,2,Sitting,1
623,2,Sitting,2,Sitting,1
624,2,Sitting,2,Sitting,1
625,2,Sitting,2,Sitting,1
626,2,Sitting,2,Sitting,1
627,2,Sitting,2,Sitting,1
628,2,Sitting,2,Sitting,1
629,2,Sitting,2,Sitting,1
630,2,Sitting,2,Sitting,1
631,2,Sitting,1,Jogging,0
632,3,Standing,3,Standing,1
633,3,Standing,3,Standing,1
634,3,Standing,3,Standing,1
635,3,Standing,3,Standing,1
636,3,Standing,3,Standing,1
637,3,Standing,3,Standing,1
638,3,Standing,3,Standing,1
639,3,Standing,3,Standing,1
640,3,Standing,3,Standing,1
641,3,Standing,3,Standing,1
642,3,Standing,3,Standing,1
643,3,Standing,3,Standing,1
644,3,Standing,3,Standing,1
645,3,Standing,3,Standing,1
646,3,Standing,4,Upstairs,0
647,4,Upstairs,5,Walking,0
648,4,Upstairs,5,Walking,0
649,4,Upstairs,5,Walking,0
650,4,Upstairs,5,Walking,0
651,4,Upstairs,5,Walking,0
652,4,Upstairs,5,Walking,0
653,4,Upstairs,5,Walking,0
654,4,Upstairs,5,Walking,0
655,5,Walking,5,Walking,1
656,5,Walking,5,Walking,1
657,5,Walking,5,Walking,1
658,5,Walking,5,Walking,1
659,5,Walking,5,Walking,1
660,5,Walking,5,Walking,1
661,5,Walking,5,Walking,1
662,5,Walking,5,Walking,1
663,5,Walking,5,Walking,1
664,5,Walking,5,Walking,1
665,5,Walking,5,Walking,1
666,5,Walking,5,Walking,1
667,5,Walking,5,Walking,1
668,5,Walking,5,Walking,1
669,5,Walking,5,Walking,1
670,5,Walking,5,Walking,1
671,5,Walking,5,Walking,1
672,5,Walking,5,Walking,1
673,5,Walking,5,Walking,1
674,5,Walking,5,Walking,1
675,5,Walking,5,Walking,1
676,5,Walking,5,Walking,1
677,5,Walking,5,Walking,1
678,5,Walking,5,Walking,1
679,5,Walking,5,Walking,1
680,5,Walking,5,Walking,1
681,5,Walking,5,Walking,1
682,5,Walking,5,Walking,1
683,5,Walking,5,Walking,1
684,5,Walking,5,Walking,1
685,5,Walking,5,Walking,1
686,5,Walking,5,Walking,1
687,5,Walking,5,Walking,1
688,5,Walking,0,Downstairs,0
689,5,Walking,5,Walking,1
690,5,Walking,5,Walking,1
691,5,Walking,5,Walking,1
692,5,Walking,5,Walking,1
693,5,Walking,5,Walking,1
694,5,Walking,5,Walking,1
695,5,Walking,5,Walking,1
696,5,Walking,5,Walking,1
697,5,Walking,5,Walking,1
698,5,Walking,5,Walking,1
699,5,Walking,5,Walking,1
700,5,Walking,5,Walking,1
701,5,Walking,4,Upstairs,0
702,5,Walking,4,Upstairs,0
703,0,Downstairs,5,Walking,0
704,0,Downstairs,5,Walking,0
705,0,Downstairs,5,Walking,0
706,0,Downstairs,5,Walking,0
707,0,Downstairs,5,Walking,0
708,0,Downstairs,5,Walking,0
709,0,Downstairs,5,Walking,0
710,0,Downstairs,5,Walking,0
711,0,Downstairs,5,Walking,0
712,1,Jogging,1,Jogging,1
713,1,Jogging,1,Jogging,1
714,1,Jogging,1,Jogging,1
715,1,Jogging,1,Jogging,1
716,1,Jogging,1,Jogging,1
717,1,Jogging,1,Jogging,1
718,1,Jogging,1,Jogging,1
719,1,Jogging,1,Jogging,1
720,1,Jogging,1,Jogging,1
721,1,Jogging,1,Jogging,1
722,1,Jogging,1,Jogging,1
723,1,Jogging,1,Jogging,1
724,1,Jogging,1,Jogging,1
725,1,Jogging,1,Jogging,1
726,1,Jogging,1,Jogging,1
727,1,Jogging,1,Jogging,1
728,1,Jogging,1,Jogging,1
729,1,Jogging,1,Jogging,1
730,1,Jogging,1,Jogging,1
731,1,Jogging,1,Jogging,1
732,1,Jogging,1,Jogging,1
733,1,Jogging,1,Jogging,1
734,1,Jogging,1,Jogging,1
735,1,Jogging,1,Jogging,1
736,1,Jogging,1,Jogging,1
737,1,Jogging,1,Jogging,1
738,1,Jogging,1,Jogging,1
739,1,Jogging,1,Jogging,1
740,1,Jogging,1,Jogging,1
741,2,Sitting,2,Sitting,1
742,2,Sitting,2,Sitting,1
743,2,Sitting,2,Sitting,1
744,2,Sitting,2,Sitting,1
745,2,Sitting,2,Sitting,1
746,2,Sitting,2,Sitting,1
747,2,Sitting,2,Sitting,1
748,2,Sitting,2,Sitting,1
749,2,Sitting,2,Sitting,1
750,3,Standing,5,Walking,0
751,3,Standing,3,Standing,1
752,3,Standing,3,Standing,1
753,3,Standing,3,Standing,1
754,3,Standing,3,Standing,1
755,3,Standing,3,Standing,1
756,3,Standing,3,Standing,1
757,3,Standing,3,Standing,1
758,3,Standing,3,Standing,1
759,3,Standing,3,Standing,1
760,3,Standing,4,Upstairs,0
761,4,Upstairs,5,Walking,0
762,5,Walking,5,Walking,1
763,5,Walking,0,Downstairs,0
764,5,Walking,5,Walking,1
765,5,Walking,5,Walking,1
766,5,Walking,5,Walking,1
767,5,Walking,5,Walking,1
768,5,Walking,5,Walking,1
769,5,Walking,5,Walking,1
770,5,Walking,5,Walking,1
771,5,Walking,5,Walking,1
772,5,Walking,5,Walking,1
773,5,Walking,5,Walking,1
774,5,Walking,5,Walking,1
775,5,Walking,5,Walking,1
776,5,Walking,5,Walking,1
777,5,Walking,5,Walking,1
778,5,Walking,5,Walking,1
779,5,Walking,5,Walking,1
780,5,Walking,5,Walking,1
781,5,Walking,5,Walking,1
782,5,Walking,5,Walking,1
783,5,Walking,5,Walking,1
784,5,Walking,5,Walking,1
785,5,Walking,5,Walking,1
786,5,Walking,5,Walking,1
787,5,Walking,5,Walking,1
788,5,Walking,5,Walking,1
789,5,Walking,5,Walking,1
790,5,Walking,5,Walking,1
791,5,Walking,5,Walking,1
792,5,Walking,5,Walking,1
793,5,Walking,5,Walking,1
794,5,Walking,5,Walking,1
795,5,Walking,5,Walking,1
796,5,Walking,5,Walking,1
797,5,Walking,5,Walking,1
798,5,Walking,5,Walking,1
799,5,Walking,5,Walking,1
800,5,Walking,5,Walking,1
801,5,Walking,5,Walking,1
802,5,Walking,5,Walking,1
803,5,Walking,5,Walking,1
804,5,Walking,5,Walking,1
805,5,Walking,5,Walking,1
